2020-06-17,44,84867,0,4645
2020-06-18,36,84903,0,4645
2020-06-19,37,84940,0,4645
2020-06-20,30,84970,0,4645
2020-06-21,27,84997,1,4646
2020-06-22,21,85018,0,4646
2020-06-23,52,85070,0,4646
2020-06-24,28,85098,1,4647
2020-06-25,21,85119,0,4647
2020-06-26,29,85148,1,4648
2020-06-27,24,85172,0,4648
2020-06-28,18,85190,0,4648
2020-06-29,14,85204,0,4648
2020-06-30,23,85227,0,4648
2020-07-01,5,85232,0,4648
2020-07-02,31,85263,0,4648
2020-07-03,15,85278,0,4648
2020-07-04,9,85287,0,4648
2020-07-05,19,85306,0,4648
2020-07-06,14,85320,0,4648
2020-07-07,25,85345,0,4648
2020-07-08,21,85366,0,4648
2020-07-09,33,85399,0,4648
2020-07-10,46,85445,0,4648
2020-07-11,42,85487,0,4648
2020-07-12,35,85522,0,4648
2020-07-13,46,85568,0,4648
2020-07-14,55,85623,1,4649
2020-07-15,54,85677,0,4649
2020-07-16,20,85697,2,4651
2020-07-17,78,85775,0,4651
2020-07-18,82,85857,1,4652
2020-07-19,80,85937,1,4653
2020-07-20,131,86068,0,4653
2020-07-21,84,86152,0,4653
2020-07-22,74,86226,2,4655
2020-07-23,135,86361,0,4655
2020-07-24,139,86500,1,4656
2020-07-25,160,86660,1,4657
2020-07-26,179,86839,2,4659
2020-07-27,189,87028,0,4659
2020-07-28,217,87245,4,4663
2020-07-29,212,87457,1,4664
2020-07-30,223,87680,1,4665
2020-07-31,276,87956,1,4666
2020-08-01,166,88122,2,4668
2020-08-02,180,88302,6,4674
2020-08-03,157,88459,2,4676
2020-08-04,114,88573,3,4679
2020-08-05,109,88682,4,4683
2020-08-06,122,88804,1,4684
2020-08-07,133,88937,3,4687
2020-08-08,120,89057,1,4688
2020-08-09,92,89149,0,4688
2020-08-10,121,89270,5,4693
2020-08-11,113,89383,3,4696
2020-08-12,61,89444,3,4699
2020-08-13,82,89526,5,4704
2020-08-14,99,89625,3,4707
2020-08-15,70,89695,1,4708
2020-08-16,66,89761,2,4710
2020-08-17,98,89859,0,4710
2020-08-18,67,89926,0,4710
2020-08-19,54,89980,2,4712
2020-08-20,33,90013,1,4713
2020-08-21,40,90053,3,4716
2020-08-22,50,90103,0,4716
2020-08-23,38,90141,1,4717
2020-08-24,41,90182,1,4718
2020-08-25,23,90205,0,4718
2020-08-26,34,90239,1,4719
2020-08-27,32,90271,1,4720
2020-08-28,30,90301,2,4722
2020-08-29,22,90323,3,4725
2020-08-30,28,90351,3,4728
2020-08-31,32,90383,1,4729
2020-09-01,19,90402,1,4730
2020-09-02,20,90422,1,4731
2020-09-03,20,90442,3,4734
2020-09-04,33,90475,1,4735
2020-09-05,23,90498,0,4735
2020-09-06,19,90517,0,4735
2020-09-07,34,90551,2,4737
2020-09-08,22,90573,2,4739
2020-09-09,9,90582,1,4740
2020-09-10,13,90595,0,4740
2020-09-11,28,90623,0,4740
2020-09-12,20,90643,0,4740
2020-09-13,23,90666,1,4741
2020-09-14,29,90695,0,4741
2020-09-15,23,90718,1,4742
2020-09-16,16,90734,1,4743
2020-09-17,19,90753,0,4743
2020-09-18,44,90797,0,4743
2020-09-19,17,90814,1,4744
2020-09-20,26,90840,0,4744
2020-09-21,36,90876,0,4744
2020-09-22,14,90890,0,4744
2020-09-23,18,90908,0,4744
2020-09-24,10,90918,1,4745
2020-09-25,15,90933,0,4745
2020-09-26,18,90951,1,4746
2020-09-27,15,90966,0,4746
2020-09-28,27,90993,0,4746
2020-09-29,25,91018,0,4746
2020-09-30,23,91041,0,4746
2020-10-01,20,91061,0,4746
2020-10-02,21,91082,0,4746
2020-10-03,19,91101,0,4746
2020-10-04,20,91121,0,4746
2020-10-05,25,91146,0,4746
2020-10-06,24,91170,0,4746
2020-10-07,18,91188,0,4746
2020-10-08,24,91212,0,4746
2020-10-09,40,91252,0,4746
2020-10-10,26,91278,0,4746
2020-10-11,27,91305,0,4746
2020-10-12,28,91333,0,4746
2020-10-13,26,91359,0,4746
2020-10-14,28,91387,0,4746
2020-10-15,12,91399,0,4746
2020-10-16,37,91436,0,4746
2020-10-17,24,91460,0,4746
2020-10-18,30,91490,0,4746
2020-10-19,17,91507,0,4746
2020-10-20,39,91546,0,4746
2020-10-21,19,91565,0,4746
2020-10-22,23,91588,0,4746
2020-10-23,33,91621,0,4746
2020-10-24,32,91653,0,4746
2020-10-25,22,91675,0,4746
2020-10-26,26,91701,0,4746
2020-10-27,24,91725,0,4746
2020-10-28,47,91772,0,4746
2020-10-29,49,91821,0,4746
2020-10-30,31,91852,0,4746
2020-10-31,41,91893,0,4746
2020-11-01,28,91921,0,4746
2020-11-02,34,91955,0,4746
2020-11-03,60,92015,0,4746
2020-11-04,30,92045,0,4746
2020-11-05,32,92077,1,4747
2020-11-06,44,92121,1,4748
2020-11-07,43,92164,0,4748
2020-11-08,31,92195,0,4748
2020-11-09,47,92242,0,4748
2020-11-10,29,92271,0,4748
2020-11-11,28,92299,1,4749
2020-11-12,37,92336,0,4749
2020-11-13,36,92372,0,4749
2020-11-14,32,92404,0,4749
2020-11-15,24,92428,0,4749
2020-11-16,24,92452,0,4749
2020-11-17,24,92476,0,4749
2020-11-18,14,92490,0,4749
2020-11-19,23,92513,0,4749
2020-11-20,31,92544,0,4749
2020-11-21,44,92588,0,4749
2020-11-22,60,92648,0,4749
2020-11-23,85,92733,0,4749
2020-11-24,96,92829,0,4749
2020-11-25,85,92914,0,4749
2020-11-26,111,93025,0,4749
2020-11-27,88,93113,0,4749
2020-11-28,112,93225,0,4749
2020-11-29,104,93329,1,4750
2020-11-30,136,93465,0,4750
2020-12-01,112,93577,0,4750
2020-12-02,91,93668,0,4750
2020-12-03,129,93797,1,4751
2020-12-04,108,93905,1,4752
2020-12-05,133,94038,1,4753
2020-12-06,122,94160,0,4753
2020-12-07,133,94293,0,4753
2020-12-08,90,94383,0,4753
2020-12-09,117,94500,0,4753
2020-12-10,118,94618,2,4755
2020-12-11,131,94749,0,4755
2020-12-12,100,94849,0,4755
2020-12-13,101,94950,1,4756
2020-12-14,114,95064,2,4758
2020-12-15,103,95167,3,4761
2020-12-16,112,95279,3,4764
2020-12-17,96,95375,0,4764
2020-12-18,116,95491,2,4766
2020-12-19,89,95580,4,4770
2020-12-20,136,95716,0,4770
2020-12-21,100,95816,1,4771
2020-12-22,100,95916,1,4772
2020-12-23,82,95998,1,4773
2020-12-24,76,96074,1,4774
2020-12-25,85,96159,2,4776
2020-12-26,81,96240,1,4777
2020-12-27,84,96324,0,4777
2020-12-28,93,96417,1,4778
2020-12-29,96,96513,4,4782
2020-12-30,79,96592,2,4784
2020-12-31,81,96673,4,4788
2021-01-01,89,96762,1,4789
2021-01-02,67,96829,1,4790
2021-01-03,65,96894,1,4791
2021-01-04,78,96972,0,4791
2021-01-05,89,97061,3,4794
